# 热门小说候选列表 — 书名 | 作者 | 类型 | 简介
斗破苍穹 | 天蚕土豆 | 玄幻 | 少年萧炎因一枚戒指踏上逆天修炼之路，从废柴到斗帝，涉及萧家、迦南学院、药老、美杜莎女王等百余角色
凡人修仙传 | 忘语 | 仙侠 | 韩立从山村少年到修仙界巨擘，历经黄枫谷、乱星海、灵界、仙界，角色关系错综复杂
诡秘之主 | 爱潜水的乌贼 | 奇幻 | 克莱恩穿越到蒸汽与神秘的世界，22条非凡途径、七大正统神灵、塔罗会成员，关系网极其庞大
庆余年 | 猫腻 | 权谋 | 范闲从澹州少年到权倾朝野，涉及庆国、北齐、东夷三国政治角力，人物关系极为复杂
雪中悍刀行 | 烽火戏诸侯 | 武侠 | 徐凤年从纨绔世子到北凉王，江湖庙堂交织，百余武林高手与朝堂权臣
全职高手 | 蝴蝶蓝 | 电竞 | 叶修被嘉世战队驱逐后重返荣耀巅峰，24支职业战队、数十位选手和角色的竞技群像
遮天 | 辰东 | 仙侠 | 叶凡从地球踏上修仙路，跨越九天十地、仙界、黑暗至尊，角色体系庞大
完美世界 | 辰东 | 玄幻 | 荒从石村少年成长为至高存在，三千州、九天十地、异域，势力纷争复杂
大奉打更人 | 卖报小郎君 | 仙侠权谋 | 许七安从打更人到半步武神，大奉朝堂六部、佛门道门巫神教，多体系角色交织
斗罗大陆 | 唐家三少 | 玄幻 | 唐三从圣魂村到封神，史莱克七怪、武魂殿、天斗帝国，角色和势力关系丰富
吞噬星空 | 番茄 | 科幻 | 罗峰从地球武者到宇宙之主，人类联盟、虫族、混沌城主等多文明势力
一世之尊 | 爱潜水的乌贼 | 仙侠 | 孟奇从少林寺小和尚成长为一世之尊，六道轮回、诸天万界的庞大世界观
赘婿 | 愤怒的香蕉 | 历史 | 宁毅从赘婿到搅动天下格局，武朝、女真、蒙古多方势力博弈
将夜 | 猫腻 | 玄幻 | 宁缺从边城少年到人间最强，唐国、知守观、魔宗、西陵神殿的恩怨纠葛
牧神记 | 宅猪 | 玄幻 | 秦牧从大墟残老村走向世界舞台，天庭、魔宗、天人族等多方势力角逐
择天记 | 猫腻 | 玄幻 | 陈长生为改变命运入京赶考，人族妖族魔族三族纷争，国教学院与天海家族对峙
盘龙 | 番茄 | 西幻 | 林雷从贫穷少年成长为宇宙主宰，玉兰大陆、地狱、四大神兽家族
三体 | 刘慈欣 | 科幻 | 三体文明入侵地球，面壁者计划、黑暗森林法则，跨越数百年的人类命运史诗
红楼梦 | 曹雪芹 | 古典 | 贾宝玉与金陵十二钗的爱恨纠葛，贾史王薛四大家族兴衰，人物关系图谱经典之作
西游记 | 吴承恩 | 古典 | 唐僧师徒四人西天取经，天庭、灵山、妖界三界势力交织，角色层次分明
